cohort_week,cohort_size,week_1_retention,week_2_retention,week_3_retention,week_4_retention,week_5_retention,week_6_retention
2022-01-03,72,0.94,0.94,0.94,0.94,0.93,0.93
2022-01-10,70,0.89,0.89,0.89,0.89,0.89,0.89
2022-01-17,105,0.9,0.9,0.9,0.89,0.88,0.88
2022-01-24,79,0.92,0.92,0.92,0.92,0.91,0.91
2022-01-31,71,0.92,0.92,0.9,0.9,0.9,0.9
2022-02-07,88,0.89,0.89,0.89,0.89,0.89,0.89
2022-02-14,67,0.91,0.91,0.91,0.91,0.91,0.91
2022-02-21,75,0.87,0.87,0.87,0.87,0.87,0.87
2022-02-28,70,0.87,0.87,0.87,0.86,0.84,0.84
2022-03-07,72,0.88,0.88,0.88,0.88,0.88,0.86
2022-03-14,71,0.85,0.85,0.85,0.85,0.82,0.8
2022-03-21,79,0.81,0.81,0.81,0.81,0.81,0.81
2022-03-28,49,0.8,0.8,0.8,0.8,0.8,0.8
2022-04-04,60,0.87,0.87,0.87,0.87,0.87,0.87
2022-04-11,58,0.79,0.79,0.79,0.79,0.79,0.79
