cohort_week,cohort_size,week_1_retention,week_2_retention,week_3_retention,week_4_retention,week_5_retention,week_6_retention
2023-01-02,23,0.57,0.57,0.57,0.57,0.57,0.57
2023-01-09,29,0.52,0.45,0.45,0.45,0.45,0.45
2023-01-16,26,0.62,0.62,0.62,0.54,0.54,0.54
2023-01-23,17,0.53,0.53,0.53,0.53,0.53,0.53
2023-01-30,23,0.48,0.43,0.39,0.39,0.39,0.39
2023-02-06,21,0.38,0.38,0.33,0.29,0.29,0.29
2023-02-13,15,0.67,0.67,0.67,0.67,0.67,0.6
2023-02-20,21,0.52,0.52,0.52,0.48,0.38,0.33
2023-02-27,11,0.27,0.27,0.27,0.27,0.27,0.27
2023-03-06,11,0.73,0.73,0.73,0.73,0.73,0.73
2023-03-13,16,0.56,0.56,0.56,0.56,0.5,0.5
2023-03-20,16,0.31,0.31,0.31,0.31,0.31,0.25
2023-03-27,9,0.11,0.11,0.11,0.11,0.0,0.0
2023-04-03,15,0.53,0.47,0.47,0.47,0.47,0.4
2023-04-10,14,0.57,0.57,0.57,0.57,0.57,0.57
